"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","2","","Login Test","","edu.tongji.plantary.user.service.impl.UserServiceImplTest$LoginTest","login_with_wrong_username_and_password","Login Fail Test","Test the login method in UserServiceImpl"
"broken","Mon Jun 12 23:29:06 CST 2023","Mon Jun 12 23:29:07 CST 2023","1476","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","exceptionSample","Sample Exception Test","Test the sampleException method in UserDao"
"passed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","1","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","testFindByPhone","Find by Phone Test","Test the findByPhone method in UserDao"
"passed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","26","","Login Test","","edu.tongji.plantary.user.service.impl.UserServiceImplTest$LoginTest","login_with_correct_username_and_password","Login Success Test","Test the login method in UserServiceImpl"
"passed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","1","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","successSample","Sample Success Test","Test the sampleSuccess method in UserDao"
"passed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","2","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","testFindByName","Find by Name Test","Test the findByName method in UserDao"
"skipped","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","0","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","skipSample","Sample Skip Test","Test the sampleSkip method in UserDao"
"passed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","80","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","testFindByPasswd","Find by Password Test","Test the findByPasswd method in UserDao"
"failed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","4","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","failSample","Sample Fail Test","Test the sampleFail method in UserDao"
"passed","Mon Jun 12 23:29:08 CST 2023","Mon Jun 12 23:29:08 CST 2023","6","","edu.tongji.plantary.user.dao.UserDaoTest","","edu.tongji.plantary.user.dao.UserDaoTest","testValidatePasswd","Validate Password Test","Test the validatePasswd method in UserDao"
